"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"860Z200US10925","ZCTA5 10925","4313","358",
"860Z200US10926","ZCTA5 10926","3416","627",
"860Z200US10927","ZCTA5 10927","12325","28",
"860Z200US10928","ZCTA5 10928","5071","483",
"860Z200US10930","ZCTA5 10930","9569","1046",
"860Z200US10931","ZCTA5 10931","1319","283",
"860Z200US10932","ZCTA5 10932","13","20",
"860Z200US10933","ZCTA5 10933","117","145",
"860Z200US10940","ZCTA5 10940","53611","1228",
"860Z200US10941","ZCTA5 10941","14422","995",
"860Z200US10950","ZCTA5 10950","68136","1395",
"860Z200US10952","ZCTA5 10952","48019","2405",
"860Z200US10953","ZCTA5 10953","22","55",
"860Z200US10954","ZCTA5 10954","26495","1711",
"860Z200US10956","ZCTA5 10956","31898","1617",
"860Z200US10958","ZCTA5 10958","3054","525",
"860Z200US10960","ZCTA5 10960","15251","863",
"860Z200US10962","ZCTA5 10962","4767","796",
"860Z200US10963","ZCTA5 10963","3842","347",
"860Z200US10964","ZCTA5 10964","1333","417",
"860Z200US10965","ZCTA5 10965","15206","1212",
"860Z200US10968","ZCTA5 10968","2456","58",
"860Z200US10969","ZCTA5 10969","1150","367",
"860Z200US10970","ZCTA5 10970","11497","820",
"860Z200US10973","ZCTA5 10973","2358","468",
"860Z200US10974","ZCTA5 10974","3382","178",
"860Z200US10975","ZCTA5 10975","246","136",
"860Z200US10976","ZCTA5 10976","2002","419",
"860Z200US10977","ZCTA5 10977","71571","2350",
"860Z200US10979","ZCTA5 10979","222","220",
"860Z200US10980","ZCTA5 10980","13414","473",
"860Z200US10983","ZCTA5 10983","5934","689",
"860Z200US10984","ZCTA5 10984","2805","507",
"860Z200US10985","ZCTA5 10985","17","28",
"860Z200US10986","ZCTA5 10986","1806","433",
"860Z200US10987","ZCTA5 10987","4411","162",
"860Z200US10988","ZCTA5 10988","695","274",
"860Z200US10989","ZCTA5 10989","9187","1125",
"860Z200US10990","ZCTA5 10990","20368","809",
"860Z200US10992","ZCTA5 10992","9843","1003",
"860Z200US10993","ZCTA5 10993","4888","807",
"860Z200US10994","ZCTA5 10994","6370","944",
"860Z200US10996","ZCTA5 10996","6349","508",
"860Z200US10998","ZCTA5 10998","3889","313",
"860Z200US11001","ZCTA5 11001","25493","969",
"860Z200US11003","ZCTA5 11003","45174","2759",
"860Z200US11004","ZCTA5 11004","13615","1533",
"860Z200US11005","ZCTA5 11005","2174","444",
"860Z200US11010","ZCTA5 11010","25604","1481",
"860Z200US11020","ZCTA5 11020","5676","765",
"860Z200US11021","ZCTA5 11021","19783","879",
"860Z200US11023","ZCTA5 11023","9630","1214",
"860Z200US11024","ZCTA5 11024","9155","957",
"860Z200US11030","ZCTA5 11030","18051","969",
"860Z200US11040","ZCTA5 11040","41988","1758",
"860Z200US11042","ZCTA5 11042","141","4",
"860Z200US11050","ZCTA5 11050","32794","1499",
"860Z200US11096","ZCTA5 11096","10428","1269",
"860Z200US11101","ZCTA5 11101","42219","2438",
"860Z200US11102","ZCTA5 11102","28503","1578",
"860Z200US11103","ZCTA5 11103","35163","2055",
"860Z200US11104","ZCTA5 11104","26132","1653",
"860Z200US11105","ZCTA5 11105","37936","1913",
"860Z200US11106","ZCTA5 11106","40930","2611",
"860Z200US11109","ZCTA5 11109","7948","1164",
"860Z200US11201","ZCTA5 11201","70674","2680",
"860Z200US11203","ZCTA5 11203","74817","2639",
"860Z200US11204","ZCTA5 11204","79800","3496",
"860Z200US11205","ZCTA5 11205","51676","2782",
"860Z200US11206","ZCTA5 11206","93020","3492",
"860Z200US11207","ZCTA5 11207","93198","3245",
"860Z200US11208","ZCTA5 11208","105428","4174",
"860Z200US11209","ZCTA5 11209","71004","2166",
"860Z200US11210","ZCTA5 11210","57915","2959",
"860Z200US11211","ZCTA5 11211","65314","3782",
"860Z200US11212","ZCTA5 11212","89020","4448",
"860Z200US11213","ZCTA5 11213","68846","2896",
"860Z200US11214","ZCTA5 11214","89397","3338",
"860Z200US11215","ZCTA5 11215","70441","2880",
"860Z200US11216","ZCTA5 11216","60685","2440",
"860Z200US11217","ZCTA5 11217","43490","1913",
"860Z200US11218","ZCTA5 11218","72042","3495",
"860Z200US11219","ZCTA5 11219","94196","4146",
"860Z200US11220","ZCTA5 11220","90652","3714",
"860Z200US11221","ZCTA5 11221","91588","3840",
"860Z200US11222","ZCTA5 11222","42853","1668",
"860Z200US11223","ZCTA5 11223","78093","3107",
"860Z200US11224","ZCTA5 11224","50822","3180",
"860Z200US11225","ZCTA5 11225","58158","3040",
"860Z200US11226","ZCTA5 11226","95144","4401",
"860Z200US11228","ZCTA5 11228","42241","1991",
"860Z200US11229","ZCTA5 11229","78377","2683",
"860Z200US11230","ZCTA5 11230","86978","3265",
"860Z200US11231","ZCTA5 11231","38276","2310",
"860Z200US11232","ZCTA5 11232","27816","1850",
"860Z200US11233","ZCTA5 11233","81822","2906",
"860Z200US11234","ZCTA5 11234","83187","2677",
"860Z200US11235","ZCTA5 11235","78558","2632",
"860Z200US11236","ZCTA5 11236","88051","2953",
"860Z200US11237","ZCTA5 11237","45334","2400",
"860Z200US11238","ZCTA5 11238","58345","2167",
"860Z200US11239","ZCTA5 11239","16410","1562",
"860Z200US11249","ZCTA5 11249","47728","3149",
"860Z200US11354","ZCTA5 11354","53028","2494",
"860Z200US11355","ZCTA5 11355","80801","3658",
"860Z200US11356","ZCTA5 11356","25824","2473",
"860Z200US11357","ZCTA5 11357","43346","2411",
"860Z200US11358","ZCTA5 11358","37665","1996",
"860Z200US11359","ZCTA5 11359","0","14",
"860Z200US11360","ZCTA5 11360","19469","2067",
"860Z200US11361","ZCTA5 11361","30127","1718",
"860Z200US11362","ZCTA5 11362","18492","1349",
"860Z200US11363","ZCTA5 11363","7223","884",
"860Z200US11364","ZCTA5 11364","35276","2359",
"860Z200US11365","ZCTA5 11365","42322","2803",
"860Z200US11366","ZCTA5 11366","13463","1378",
"860Z200US11367","ZCTA5 11367","40923","2746",
"860Z200US11368","ZCTA5 11368","105716","4085",
"860Z200US11369","ZCTA5 11369","35133","2174",
"860Z200US11370","ZCTA5 11370","30267","2523",
"860Z200US11371","ZCTA5 11371","0","14",
"860Z200US11372","ZCTA5 11372","64756","3427",
"860Z200US11373","ZCTA5 11373","98403","3774",
"860Z200US11374","ZCTA5 11374","46989","2716",
"860Z200US11375","ZCTA5 11375","76839","3249",
"860Z200US11377","ZCTA5 11377","81690","3523",
"860Z200US11378","ZCTA5 11378","36392","2211",
"860Z200US11379","ZCTA5 11379","36773","1990",
"860Z200US11385","ZCTA5 11385","101704","3765",
"860Z200US11411","ZCTA5 11411","20540","1294",
"860Z200US11412","ZCTA5 11412","39828","2406",
"860Z200US11413","ZCTA5 11413","45965","2366",
"860Z200US11414","ZCTA5 11414","31308","2483",
"860Z200US11415","ZCTA5 11415","21154","1726",
"860Z200US11416","ZCTA5 11416","25919","1521",
"860Z200US11417","ZCTA5 11417","30578","1875",
"860Z200US11418","ZCTA5 11418","35481","2270",
"860Z200US11419","ZCTA5 11419","47441","2657",
"860Z200US11420","ZCTA5 11420","49415","2416",
"860Z200US11421","ZCTA5 11421","40612","2390",
"860Z200US11422","ZCTA5 11422","33757","2076",
"860Z200US11423","ZCTA5 11423","28534","1900",
"860Z200US11424","ZCTA5 11424","0","14",
"860Z200US11426","ZCTA5 11426","19411","2020",
"860Z200US11427","ZCTA5 11427","24607","2011",
"860Z200US11428","ZCTA5 11428","19028","1522",
"860Z200US11429","ZCTA5 11429","26832","1876",
"860Z200US11430","ZCTA5 11430","588","45",
"860Z200US11432","ZCTA5 11432","62892","3031",
"860Z200US11433","ZCTA5 11433","37884","2443",
"860Z200US11434","ZCTA5 11434","68263","2686",
"860Z200US11435","ZCTA5 11435","56826","2977",
"860Z200US11436","ZCTA5 11436","22527","1288",
"860Z200US11439","ZCTA5 11439","2170","77",
"860Z200US11451","ZCTA5 11451","0","14",
"860Z200US11501","ZCTA5 11501","21641","171",
"860Z200US11507","ZCTA5 11507","6736","843",
"860Z200US11509","ZCTA5 11509","1790","349",
"860Z200US11510","ZCTA5 11510","35701","1885",
"860Z200US11514","ZCTA5 11514","4544","658",
"860Z200US11516","ZCTA5 11516","9112","654",
"860Z200US11518","ZCTA5 11518","10149","748",
"860Z200US11520","ZCTA5 11520","44910","614",
"860Z200US11530","ZCTA5 11530","27939","675",
"860Z200US11542","ZCTA5 11542","28965","302",
"860Z200US11545","ZCTA5 11545","12172","994",
"860Z200US11547","ZCTA5 11547","706","231",
"860Z200US11548","ZCTA5 11548","2261","359",
"860Z200US11549","ZCTA5 11549","2359","133",
"860Z200US11550","ZCTA5 11550","60960","547",
"860Z200US11552","ZCTA5 11552","25174","1567",
"860Z200US11553","ZCTA5 11553","27875","2006",
"860Z200US11554","ZCTA5 11554","36821","2310",
"860Z200US11556","ZCTA5 11556","0","14",
"860Z200US11557","ZCTA5 11557","8504","1159",
"860Z200US11558","ZCTA5 11558","8454","461",
"860Z200US11559","ZCTA5 11559","8878","575",
"860Z200US11560","ZCTA5 11560","7696","901",
"860Z200US11561","ZCTA5 11561","38708","497",
"860Z200US11563","ZCTA5 11563","22899","626",
"860Z200US11565","ZCTA5 11565","9009","344",
"860Z200US11566","ZCTA5 11566","34741","1438",
"860Z200US11568","ZCTA5 11568","4144","153",
"860Z200US11569","ZCTA5 11569","945","294",
"860Z200US11570","ZCTA5 11570","28908","876",
"860Z200US11572","ZCTA5 11572","30436","1410",
"860Z200US11575","ZCTA5 11575","18705","1817",
"860Z200US11576","ZCTA5 11576","12281","964",
"860Z200US11577","ZCTA5 11577","13077","1216",
"860Z200US11579","ZCTA5 11579","5033","15",
"860Z200US11580","ZCTA5 11580","43092","2497",
"860Z200US11581","ZCTA5 11581","22818","1614",
"860Z200US11590","ZCTA5 11590","47599","2386",
"860Z200US11596","ZCTA5 11596","10516","311",
"860Z200US11598","ZCTA5 11598","13599","1716",
"860Z200US11691","ZCTA5 11691","69359","3379",
"860Z200US11692","ZCTA5 11692","22734","1951",
"860Z200US11693","ZCTA5 11693","13244","1339",
"860Z200US11694","ZCTA5 11694","21489","1900",
"860Z200US11697","ZCTA5 11697","4429","858",
"860Z200US11701","ZCTA5 11701","29509","1577",
"860Z200US11702","ZCTA5 11702","13909","714",
"860Z200US11703","ZCTA5 11703","17187","2093",
